,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,337,Dcover Jcover-fuzz,time(Seconds):,479,Jcover test verification on,time(Seconds):,552
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
easyexcel,com.alibaba.excel.metadata,Sheet,,,,0,52,1.0,0,52,1.0,1,51,0.9807692307692307
easyexcel,com.alibaba.excel.metadata,Table,,,,0,15,1.0,0,15,1.0,0,15,1.0
easyexcel,com.alibaba.excel.metadata,Font,,,,0,10,1.0,0,10,1.0,0,10,1.0
easyexcel,com.alibaba.excel.metadata,CellRange,,,,0,18,1.0,0,18,1.0,0,18,1.0
easyexcel,com.alibaba.excel.metadata,TableStyle,,,,0,13,1.0,0,13,1.0,0,13,1.0
easyexcel,com.alibaba.excel.metadata,Head,,,,0,27,1.0,0,27,1.0,0,27,1.0
easyexcel,com.alibaba.excel.metadata,BaseRowModel,,,,2,6,0.75,2,6,0.75,0,8,1.0
easyexcel,com.alibaba.excel.metadata,BasicParameter,,,,0,16,1.0,0,16,1.0,0,16,1.0
easyexcel,com.alibaba.excel.metadata,AbstractHolder,,,,11,22,0.6666666666666666,11,22,0.6666666666666666,11,22,0.6666666666666666
easyexcel,com.alibaba.excel.write.metadata.style,WriteCellStyle,,,,0,67,1.0,0,67,1.0,0,67,1.0
easyexcel,com.alibaba.excel.write.metadata.style,WriteFont,,,,0,28,1.0,0,28,1.0,0,28,1.0
easyexcel,com.alibaba.excel.write.style.column,AbstractColumnWidthStyleStrategy,,,,5,1,0.16666666666666666,5,1,0.16666666666666666,4,2,0.3333333333333333
easyexcel,com.alibaba.excel.write.style.column,AbstractHeadColumnWidthStyleStrategy,,,,8,1,0.1111111111111111,8,1,0.1111111111111111,8,1,0.1111111111111111
easyexcel,com.alibaba.excel.write.style.column,LongestMatchColumnWidthStyleStrategy,,,,30,0,0.0,30,0,0.0,30,0,0.0
easyexcel,com.alibaba.excel.write.style.column,SimpleColumnWidthStyleStrategy,,,,0,4,1.0,0,4,1.0,0,4,1.0
easyexcel,com.alibaba.excel.converters.shortconverter,ShortStringConverter,,,,1,4,0.8,1,4,0.8,1,4,0.8
easyexcel,com.alibaba.excel.converters.shortconverter,ShortBooleanConverter,,,,4,7,0.6363636363636364,3,8,0.7272727272727273,3,8,0.7272727272727273
